case	version	outcome	parser_messages	status	errors	validated_status	identical_to_control	shapes
schema-dialect	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
schema-dialect-draft7	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
arbitrary-keyword	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	False	openapi#Value:structure
not	3.0.3	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
not	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
object-size	3.0.3	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
object-size	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
object-default	3.0.3	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
object-default	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
legacy-nullable	3.0.3	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
schema-ref-description	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Base:structure, openapi#Value:structure
schema-ref-constraint	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Base:structure, openapi#Value:structure
defs-pointer	3.1.0	exception	0	exception	0	exception		
anchor-ref	3.1.0	exception	0	exception	0	exception		
id-relative-ref	3.1.0	exception	0	exception	0	exception		
dynamic-ref	3.1.0	unsupported schema/feature	0	success	1	failure		error#Payload:structure, openapi#Base:structure, openapi#Value:structure
defs-unused	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	False	openapi#Value:structure
defs-member-ref	3.1.0	model validation failure	0	success	1	failure		openapi#Value:structure
anchor-matches-name	3.1.0	no diagnostics (inspect semantics)	0	success	0	success		openapi#Base:structure, openapi#Value:structure
anchor-component-ref	3.1.0	model validation failure	0	success	1	failure		openapi#Base:structure, openapi#Value:structure
http-operation	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#GetValue:operation, openapi#GetValue200:structure, openapi#OpenapiService:service
http-operation	3.1.0	no diagnostics (inspect semantics)	0	success	0	success		openapi#GetValue:operation, openapi#GetValue200:structure, openapi#OpenapiService:service
components-without-paths	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#Value:structure
webhooks-with-paths	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#GetValue:operation, openapi#GetValue200:structure, openapi#OpenapiService:service
webhooks-only	3.1.0	no diagnostics (inspect semantics)	0	success	0	success		
components-path-items	3.1.0	no diagnostics (inspect semantics)	0	success	0	success		
operation-without-responses	3.1.0	input rejected	1	success	1	failure		
get-request-body	3.1.0	model validation failure	0	success	1	failure		openapi#GetValue:operation, openapi#GetValue200:structure, openapi#GetValueInput:structure, openapi#OpenapiService:service
head-request-body	3.1.0	model validation failure	0	success	1	failure		openapi#GetValue:operation, openapi#GetValue200:structure, openapi#GetValueInput:structure, openapi#OpenapiService:service
delete-request-body	3.1.0	model validation failure	0	success	1	failure		openapi#GetValue:operation, openapi#GetValue200:structure, openapi#GetValueInput:structure, openapi#OpenapiService:service
raw-binary-response	3.1.0	unsupported schema/feature	0	success	1	failure		error#ApplicationOctetStream:structure, openapi#Body:union, openapi#GetValue:operation, openapi#GetValue200:structure, openapi#OpenapiService:service
raw-binary-request	3.1.0	unsupported schema/feature	0	success	1	failure		error#Body:structure, openapi#GetValue:operation, openapi#GetValue200:structure, openapi#GetValueInput:structure, openapi#OpenapiService:service
mutual-tls	3.1.0	unsupported schema/feature	0	success	1	failure		openapi#GetValue:operation, openapi#GetValue200:structure, openapi#OpenapiService:service
info-summary	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#GetValue:operation, openapi#GetValue200:structure, openapi#OpenapiService:service
license-identifier	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#GetValue:operation, openapi#GetValue200:structure, openapi#OpenapiService:service
root-schema-dialect	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#GetValue:operation, openapi#GetValue200:structure, openapi#OpenapiService:service
response-ref	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#GetValue:operation, openapi#OpenapiService:service, openapi#Result:structure
response-ref	3.1.0	no diagnostics (inspect semantics)	0	success	0	success		openapi#GetValue:operation, openapi#OpenapiService:service, openapi#Result:structure
response-ref-metadata	3.1.0	no diagnostics (inspect semantics)	0	success	0	success	True	openapi#GetValue:operation, openapi#OpenapiService:service, openapi#Result:structure
